;time;freq;sex;age;home;math;work;own;grade
0;2.0;weekly;female;19;yes;no;10.0;yes;A
1;0.0;monthly;female;18;yes;yes;0.0;yes;C
2;0.0;monthly;male;19;yes;no;0.0;yes;B
3;0.5;monthly;female;19;yes;no;0.0;yes;B
4;0.0;semesterly;female;19;yes;yes;0.0;no;B
5;0.0;semesterly;male;19;no;no;12.0;no;B
6;0.0;semesterly;male;20;yes;yes;10.0;yes;B
7;0.0;semesterly;female;19;yes;no;13.0;no;B
8;2.0;daily;male;19;no;no;0.0;no;A
9;0.0;semesterly;male;19;yes;yes;0.0;yes;A
10;0.0;semesterly;female;20;yes;no;0.0;yes;B
11;0.0;semesterly;female;19;yes;no;0.0;yes;A
12;0.0;daily;female;19;yes;yes;0.0;no;A
13;3.0;weekly;female;18;no;no;0.0;no;B
14;1.0;weekly;female;18;yes;yes;14.0;yes;B
15;0.0;99;male;19;yes;no;0.0;yes;B
16;0.0;semesterly;male;21;yes;no;2.0;yes;A
17;0.0;monthly;male;20;yes;no;0.0;yes;B
18;2.0;weekly;male;18;yes;no;0.0;yes;A
19;0.0;99;female;19;no;no;9.0;no;B
20;2.0;weekly;male;20;yes;no;15.0;yes;A
21;0.0;monthly;male;24;yes;no;10.0;no;A
22;2.0;daily;male;19;no;no;0.0;yes;A
23;0.0;99;female;19;no;no;0.0;no;C
24;0.0;99;male;21;yes;no;0.0;yes;B
25;0.0;semesterly;female;20;yes;yes;0.0;yes;B
26;0.0;semesterly;male;22;yes;yes;0.0;yes;A
27;0.0;monthly;male;18;no;no;10.0;no;B
28;0.0;semesterly;male;19;yes;yes;0.0;yes;B
29;0.0;semesterly;female;20;yes;no;0.0;yes;B
30;0.0;semesterly;female;19;yes;yes;0.0;no;A
31;1.0;weekly;male;19;yes;no;99;yes;B
32;0.0;monthly;male;19;yes;yes;0.0;yes;B
33;0.0;monthly;male;19;yes;no;10.0;no;B
34;0.0;daily;female;19;yes;no;12.0;yes;B
35;0.1;weekly;male;18;no;no;5.0;yes;A
36;0.5;monthly;female;19;yes;no;0.0;yes;B
37;1.0;semesterly;female;20;yes;no;0.0;yes;B
38;0.0;semesterly;female;19;no;no;0.0;no;B
39;0.0;weekly;female;20;yes;no;20.0;yes;B
40;0.0;99;female;19;yes;no;5.0;yes;A
41;2.0;weekly;male;19;yes;no;0.0;yes;B
42;2.0;weekly;male;19;no;no;10.0;yes;B
43;0.5;weekly;male;19;yes;yes;99;no;A
44;0.0;99;male;19;yes;yes;99;yes;B
45;2.0;weekly;male;19;yes;no;15.0;no;A
46;0.0;weekly;male;19;yes;yes;0.0;yes;B
47;0.0;monthly;female;19;yes;yes;0.0;yes;B
48;0.0;99;male;20;yes;yes;15.0;yes;B
49;2.0;weekly;male;19;yes;no;0.0;yes;A
50;0.0;semesterly;female;18;yes;yes;0.0;yes;B
51;0.0;99;female;20;yes;yes;0.0;yes;B
52;0.5;weekly;male;19;yes;no;16.0;yes;B
53;3.0;daily;male;18;yes;no;7.0;yes;B
54;0.0;monthly;male;19;no;no;15.0;no;B
55;0.0;monthly;female;21;yes;no;5.0;yes;A
56;0.0;semesterly;female;18;yes;no;0.0;yes;A
57;4.0;daily;male;20;yes;no;6.0;yes;A
58;30.0;weekly;male;19;no;yes;0.0;no;B
59;14.0;daily;female;19;yes;no;0.0;yes;C
60;0.0;monthly;male;19;no;no;0.0;no;B
61;0.0;monthly;female;21;no;no;18.0;yes;C
62;0.0;99;female;20;yes;no;0.0;yes;A
63;0.5;weekly;male;19;yes;no;20.0;yes;A
64;14.0;daily;male;18;yes;no;35.0;yes;B
65;1.0;weekly;male;19;yes;no;19.0;yes;A
66;0.0;semesterly;male;18;yes;no;0.0;yes;A
67;0.0;weekly;male;20;yes;yes;20.0;no;A
68;1.5;weekly;female;19;yes;yes;8.0;yes;B
69;0.0;semesterly;male;19;yes;yes;0.0;yes;B
70;0.0;monthly;male;19;yes;yes;0.0;yes;B
71;2.0;weekly;male;20;yes;no;10.0;yes;B
72;0.0;99;male;19;no;yes;16.0;yes;B
73;0.0;weekly;male;23;no;no;0.0;yes;A
74;0.0;99;female;19;yes;no;40.0;no;B
75;0.0;monthly;female;20;no;no;0.0;yes;C
76;0.0;99;female;19;yes;yes;15.0;yes;B
77;0.0;semesterly;male;19;yes;no;16.0;no;B
78;0.0;monthly;male;25;no;no;55.0;yes;B
79;2.0;weekly;male;19;yes;no;10.0;yes;B
80;1.0;daily;male;20;yes;yes;0.0;yes;A
81;0.0;99;male;19;yes;yes;10.0;yes;A
82;0.0;semesterly;female;19;no;yes;15.0;no;C
83;2.0;weekly;male;21;no;no;15.0;no;A
84;0.0;semesterly;female;18;yes;yes;15.0;no;B
85;2.0;weekly;male;19;no;no;0.0;yes;B
86;2.0;weekly;male;19;yes;no;0.0;yes;A
87;5.0;weekly;female;20;yes;no;14.0;yes;A
88;0.0;semesterly;female;33;yes;no;40.0;yes;C
89;3.0;weekly;male;19;yes;no;5.0;yes;B
90;0.0;monthly;female;19;no;yes;5.0;yes;C
